timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1402866579150,1814,Home Page,200,OK,Jakarta Users 1-50,text,true,262,1812
1402866576941,4028,Home Page,200,OK,Jakarta Users 1-11,text,true,262,4025
1402866580718,253,Home Page,200,OK,Jakarta Users 1-5,text,true,261,253
1402866580726,246,Home Page,200,OK,Jakarta Users 1-24,text,true,261,246
1402866579141,1834,Home Page,200,OK,Jakarta Users 1-27,text,true,262,1833
1402866576980,4165,Home Page,200,OK,Jakarta Users 1-47,text,true,262,4163
1402866577944,3208,Home Page,200,OK,Jakarta Users 1-13,text,true,262,3206
1402866579719,1441,Home Page,200,OK,Jakarta Users 1-34,text,true,262,1439
1402866579720,1445,Home Page,200,OK,Jakarta Users 1-39,text,true,262,1443
1402866577973,3196,Home Page,200,OK,Jakarta Users 1-2,text,true,262,3196
1402866577965,3206,Home Page,200,OK,Jakarta Users 1-6,text,true,262,3205
1402866579821,1355,Home Page,200,OK,Jakarta Users 1-4,text,true,262,1355
1402866580855,333,Home Page,200,OK,Jakarta Users 1-10,text,true,261,332
1402866580935,400,Home Page,200,OK,Jakarta Users 1-16,text,true,261,399
1402866580939,460,Home Page,200,OK,Jakarta Users 1-46,text,true,261,460
1402866580949,512,Home Page,200,OK,Jakarta Users 1-9,text,true,261,511
1402866580956,513,Home Page,200,OK,Jakarta Users 1-18,text,true,261,508
1402866577976,3596,Home Page,200,OK,Jakarta Users 1-17,text,true,262,3595
1402866578916,2796,Home Page,200,OK,Jakarta Users 1-21,text,true,262,2796
1402866580972,751,Home Page,200,OK,Jakarta Users 1-24,text,true,261,746
1402866578917,2810,Home Page,200,OK,Jakarta Users 1-28,text,true,262,2805
1402866578920,2810,Home Page,200,OK,Jakarta Users 1-3,text,true,262,2809
1402866578925,2809,Home Page,200,OK,Jakarta Users 1-30,text,true,262,2807
1402866578927,2808,Home Page,200,OK,Jakarta Users 1-22,text,true,262,2807
1402866579863,1876,Home Page,200,OK,Jakarta Users 1-42,text,true,262,1873
1402866579899,1978,Home Page,200,OK,Jakarta Users 1-23,text,true,262,1975
1402866578942,2943,Home Page,200,OK,Jakarta Users 1-25,text,true,262,2942
1402866581178,710,Home Page,200,OK,Jakarta Users 1-4,text,true,261,710
1402866581190,700,Home Page,200,OK,Jakarta Users 1-10,text,true,261,699
1402866578978,2946,Home Page,200,OK,Jakarta Users 1-12,text,true,262,2945
1402866579918,2020,Home Page,200,OK,Jakarta Users 1-31,text,true,262,2019
1402866579972,1979,Home Page,200,OK,Jakarta Users 1-8,text,true,262,1978
1402866581471,481,Home Page,200,OK,Jakarta Users 1-18,text,true,261,481
1402866580146,1810,Home Page,200,OK,Jakarta Users 1-26,text,true,262,1806
1402866580719,1259,Home Page,200,OK,Jakarta Users 1-19,text,true,262,1257
1402866579719,2264,Home Page,200,OK,Jakarta Users 1-1,text,true,262,2262
1402866580818,1339,Home Page,200,OK,Jakarta Users 1-37,text,true,262,1338
1402866578932,3235,Home Page,200,OK,Jakarta Users 1-41,text,true,262,3235
1402866581889,489,Home Page,200,OK,Jakarta Users 1-4,text,true,261,488
1402866581940,448,Home Page,200,OK,Jakarta Users 1-31,text,true,261,447
1402866581953,437,Home Page,200,OK,Jakarta Users 1-18,text,true,261,436
1402866581952,438,Home Page,200,OK,Jakarta Users 1-8,text,true,261,438
1402866581985,410,Home Page,200,OK,Jakarta Users 1-1,text,true,260,409
1402866580936,1463,Home Page,200,OK,Jakarta Users 1-43,text,true,262,1462
1402866581957,527,Home Page,200,OK,Jakarta Users 1-26,text,true,261,526
1402866580964,1526,Home Page,200,OK,Jakarta Users 1-45,text,true,262,1526
1402866580944,1548,Home Page,200,OK,Jakarta Users 1-44,text,true,262,1547
1402866580969,1603,Home Page,200,OK,Jakarta Users 1-11,text,true,262,1602
1402866580975,1738,Home Page,200,OK,Jakarta Users 1-27,text,true,262,1738
1402866579856,2860,Home Page,200,OK,Jakarta Users 1-29,text,true,262,2859
1402866581161,1560,Home Page,200,OK,Jakarta Users 1-34,text,true,262,1560
1402866581167,1555,Home Page,200,OK,Jakarta Users 1-39,text,true,262,1555
1402866579869,2945,Home Page,200,OK,Jakarta Users 1-7,text,true,262,2945
1402866579895,2928,Home Page,200,OK,Jakarta Users 1-20,text,true,262,2928
1402866579901,3021,Home Page,200,OK,Jakarta Users 1-15,text,true,262,3015
1402866581401,1529,Home Page,200,OK,Jakarta Users 1-46,text,true,262,1526
1402866579946,2988,Home Page,200,OK,Jakarta Users 1-32,text,true,262,2988
1402866580140,2800,Home Page,200,OK,Jakarta Users 1-49,text,true,262,2800
1402866580144,2801,Home Page,200,OK,Jakarta Users 1-40,text,true,262,2801
1402866579829,3156,Home Page,200,OK,Jakarta Users 1-36,text,true,262,2504
1402866581715,1287,Home Page,200,OK,Jakarta Users 1-21,text,true,262,1286
1402866581725,1283,Home Page,200,OK,Jakarta Users 1-24,text,true,262,1282
1402866581729,1281,Home Page,200,OK,Jakarta Users 1-28,text,true,262,1281
1402866580816,2254,Home Page,200,OK,Jakarta Users 1-35,text,true,262,2254
1402866579885,3292,Home Page,200,OK,Jakarta Users 1-38,text,true,262,2749
1402866580912,2398,Home Page,200,OK,Jakarta Users 1-14,text,true,262,2398
1402866582390,923,Home Page,200,OK,Jakarta Users 1-18,text,true,260,923
1402866581879,1449,Home Page,200,OK,Jakarta Users 1-23,text,true,262,1449
1402866581886,1446,Home Page,200,OK,Jakarta Users 1-25,text,true,262,1445
1402866581926,1410,Home Page,200,OK,Jakarta Users 1-12,text,true,262,1409
