timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1402866989519,2567,Home Page,200,OK,Jakarta Users 1-21,text,true,244,2567
1402866990058,2153,Home Page,200,OK,Jakarta Users 1-6,text,true,244,2153
1402866991108,1383,Home Page,200,OK,Jakarta Users 1-10,text,true,244,1383
1402866990032,2576,Home Page,200,OK,Jakarta Users 1-9,text,true,244,2576
1402866990101,2583,Home Page,200,OK,Jakarta Users 1-49,text,true,244,2582
1402866991697,1142,Home Page,200,OK,Jakarta Users 1-35,text,true,243,1142
1402866992491,463,Home Page,200,OK,Jakarta Users 1-10,text,true,243,463
1402866992086,976,Home Page,200,OK,Jakarta Users 1-21,text,true,243,976
1402866990857,2280,Home Page,200,OK,Jakarta Users 1-33,text,true,244,2280
1402866990472,2829,Home Page,200,OK,Jakarta Users 1-41,text,true,244,2829
1402866991324,1984,Home Page,200,OK,Jakarta Users 1-31,text,true,244,1983
1402866992684,827,Home Page,200,OK,Jakarta Users 1-49,text,true,243,825
1402866992004,1550,Home Page,200,OK,Jakarta Users 1-4,text,true,244,1550
1402866991181,2564,Home Page,200,OK,Jakarta Users 1-47,text,true,244,2564
1402866992955,908,Home Page,200,OK,Jakarta Users 1-10,text,true,243,907
1402866992212,1987,Home Page,200,OK,Jakarta Users 1-6,text,true,244,1987
1402866992839,1556,Home Page,200,OK,Jakarta Users 1-35,text,true,244,1556
1402866993063,1504,Home Page,200,OK,Jakarta Users 1-21,text,true,244,1504
1402866993863,747,Home Page,200,OK,Jakarta Users 1-10,text,true,243,746
